id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
42,Greece,MONO,295,1,Salon 5,Tron
43,Philippines,STEREO,496,5,Salon 5,Metal Slug
44,Russia,MONO,151,5,Salon Carreras,Tetris
45,Indonesia,STEREO,315,3,Salon 6,Virtua Cop
46,China,STEREO,456,4,Salon 5,Star Wars
47,China,STEREO,484,1,Salon 2,Virtua Cop
48,Indonesia,MONO,372,3,Salon 1,Galaga
49,Colombia,MONO,130,1,Salon 2021,Double Dragon
50,Portugal,MONO,294,4,Salon 3,Bubble Bobble
51,Uganda,MONO,303,3,Salon 5,Pong
52,Paraguay,MONO,107,2,Salon 5,Space Invaders
53,Indonesia,STEREO,442,4,Salon 3,Mortal Kombat
54,Greece,MONO,454,2,Salon 2021,Virtua Cop
55,Iran,MONO,469,2,Salon VR,Galaga
56,Philippines,MONO,389,1,Salon 3,Out Run
57,Madagascar,MONO,412,3,Salon 5,Tetris
58,China,MONO,338,3,Salon Carreras,Arkanoid
59,Philippines,STEREO,303,4,Salon Carreras,Tetris
60,Uruguay,STEREO,380,2,Salon 6,Out Run
61,Ireland,MONO,197,3,Salon 1,Tron
62,China,STEREO,454,5,Salon 1,Pacman
63,Bangladesh,STEREO,339,1,Salon 4,Mortal Kombat
64,Japan,MONO,260,3,Salon 2,Virtua Cop
65,Indonesia,MONO,260,4,Salon 1,Castelvania
66,Brazil,MONO,275,1,Salon 2,Space Invaders
67,Colombia,STEREO,136,1,Salon 6,Tetris
68,Indonesia,STEREO,389,1,Salon Carreras,Virtua Cop
69,Russia,MONO,113,5,Salon 1,Tron
70,Albania,STEREO,376,4,Salon VR,Galaga
71,Micronesia,STEREO,415,5,Salon VR,Out Run
72,Ecuador,STEREO,169,3,Salon Carreras,Metal Slug
73,China,MONO,167,4,Salon 2,Asteroids
74,Sri Lanka,STEREO,307,2,Salon Carreras,Metal Slug
75,Argentina,MONO,178,3,Salon 1,Out Run
76,China,STEREO,141,4,Salon 2021,Out Run
77,Poland,STEREO,122,3,Salon 3,Asteroids
78,Colombia,STEREO,227,3,Salon 1,Galaga
79,China,MONO,360,4,Salon 6,Pacman
80,Czech Republic,MONO,385,4,Salon Carreras,Castelvania
81,Russia,STEREO,276,3,Salon Retro,Tetris
82,New Zealand,STEREO,206,4,Salon 6,Virtua Cop
83,China,MONO,332,1,Salon 5,Bubble Bobble
84,Honduras,MONO,389,5,Salon 3,Star Wars
85,China,MONO,148,2,Salon 2021,Castelvania
86,Philippines,MONO,353,1,Salon 6,Galaga
87,Poland,STEREO,161,1,Salon 2,Arkanoid
88,Philippines,STEREO,237,1,Salon Carreras,Out Run
89,Bahrain,MONO,176,1,Salon 1,Mortal Kombat
90,Morocco,MONO,309,1,Salon 6,Star Wars
91,Indonesia,STEREO,433,4,Salon Retro,Street Fighter II
92,Sweden,STEREO,360,2,Salon 3,Star Wars
93,Philippines,STEREO,120,3,Salon Retro,Arkanoid
94,China,STEREO,442,5,Salon Retro,Bubble Bobble
95,United States,MONO,218,2,Salon 6,Arkanoid
96,China,MONO,388,1,Salon Carreras,Out Run
97,Portugal,MONO,157,2,Salon 2,Tetris
98,Indonesia,STEREO,479,3,Salon 2,Star Wars
99,Philippines,STEREO,274,4,Salon Retro,Bubble Bobble
100,China,STEREO,213,5,Salon 3,Street Fighter II
101,Estonia,MONO,215,4,Salon 3,Virtua Cop
102,Indonesia,MONO,155,3,Salon 2,Metal Slug
103,China,MONO,232,3,Salon VR,Castelvania
104,Portugal,STEREO,301,3,Salon 3,Tron
105,Philippines,STEREO,213,3,Salon Carreras,Space Invaders
106,Philippines,MONO,124,1,Salon 2,Out Run
107,Mexico,STEREO,472,4,Salon 5,Pong
108,Russia,STEREO,477,3,Salon 6,Bubble Bobble
109,Bulgaria,STEREO,284,3,Salon 6,Star Wars
110,Indonesia,STEREO,239,4,Salon 1,Metal Slug
111,Russia,MONO,429,3,Salon Carreras,Virtua Cop
112,China,STEREO,444,5,Salon Retro,Space Invaders
113,China,STEREO,109,3,Salon 2021,Pacman
114,Chile,STEREO,282,5,Salon 6,Castelvania
115,China,STEREO,177,1,Salon 5,Arkanoid
116,Poland,MONO,173,3,Salon 6,Mortal Kombat
117,Japan,MONO,487,5,Salon Carreras,Tron
118,China,MONO,132,1,Salon 4,Virtua Cop
119,China,STEREO,474,5,Salon 2021,Out Run
120,Mexico,STEREO,335,5,Salon VR,Pacman
121,New Caledonia,STEREO,293,2,Salon Retro,Star Wars
122,Portugal,STEREO,106,3,Salon 1,Virtua Cop
123,Nigeria,STEREO,390,5,Salon Retro,Frogger
124,China,MONO,184,2,Salon 2021,Bubble Bobble
125,Greece,STEREO,202,3,Salon 4,Arkanoid
126,Bolivia,MONO,391,5,Salon 2021,Castelvania
127,Peru,STEREO,411,3,Salon VR,Star Wars
128,China,STEREO,458,5,Salon 6,Metal Slug
129,Peru,STEREO,422,2,Salon 3,Virtua Cop
130,Argentina,STEREO,182,2,Salon 2021,Asteroids
131,South Africa,MONO,290,2,Salon 5,Arkanoid
132,Argentina,STEREO,436,2,Salon 2021,Out Run
133,Ukraine,STEREO,411,2,Salon 2021,Tron
134,Czech Republic,MONO,480,1,Salon Retro,Out Run
135,China,STEREO,267,3,Salon 2,Pong
136,Armenia,MONO,374,3,Salon 4,Asteroids
137,France,MONO,289,4,Salon 6,Out Run
138,Indonesia,MONO,151,4,Salon 3,Out Run
139,Czech Republic,STEREO,136,3,Salon VR,Metal Slug
140,Armenia,STEREO,396,4,Salon 1,Mortal Kombat
141,Guatemala,STEREO,396,3,Salon 2,Street Fighter II
142,France,MONO,494,5,Salon 2021,Frogger
143,China,MONO,333,5,Salon 2021,Mortal Kombat
144,Chile,STEREO,107,1,Salon 5,Pacman
145,Russia,MONO,354,5,Salon 3,Street Fighter II
146,Slovenia,MONO,177,5,Salon 3,Pong
147,United States,MONO,421,2,Salon 2,Mortal Kombat
148,Japan,STEREO,169,2,Salon 2021,Tron
149,Philippines,STEREO,150,2,Salon 1,Star Wars
150,Philippines,STEREO,267,3,Salon Carreras,Star Wars
151,Thailand,MONO,109,4,Salon 5,Tetris
152,Argentina,STEREO,153,3,Salon VR,Out Run
153,China,MONO,146,1,Salon 1,Double Dragon
154,Indonesia,MONO,332,2,Salon 2021,Pacman
155,China,MONO,397,3,Salon 6,Castelvania
156,Nepal,MONO,217,5,Salon 2021,Frogger
157,Estonia,MONO,301,2,Salon 2,Out Run
158,France,STEREO,423,1,Salon 4,Pong
159,Ethiopia,STEREO,291,1,Salon 3,Metal Slug
160,Malaysia,STEREO,442,5,Salon 2,Galaga
161,Czech Republic,STEREO,221,2,Salon Carreras,Pong
162,Indonesia,STEREO,190,1,Salon VR,Tetris
163,Russia,MONO,438,3,Salon 3,Asteroids
164,China,STEREO,372,4,Salon 3,Tetris
165,Venezuela,STEREO,198,5,Salon 5,Asteroids
166,Sweden,MONO,197,2,Salon 1,Bubble Bobble
167,Brazil,MONO,337,1,Salon 2,Out Run
168,Brazil,MONO,163,2,Salon 1,Asteroids
169,Philippines,STEREO,188,5,Salon 4,Out Run
170,Brazil,MONO,463,1,Salon 5,Double Dragon
171,Paraguay,MONO,311,5,Salon 2,Metal Slug
172,China,MONO,416,4,Salon 2,Street Fighter II
173,Ukraine,STEREO,468,3,Salon 4,Tetris
174,South Africa,STEREO,378,5,Salon VR,Bubble Bobble
175,Poland,MONO,135,5,Salon VR,Metal Slug
176,Canada,STEREO,401,3,Salon Carreras,Street Fighter II
177,French Guiana,STEREO,184,4,Salon 1,Pacman
178,Belarus,STEREO,425,2,Salon Carreras,Bubble Bobble
179,Benin,MONO,238,3,Salon 1,Bubble Bobble
180,Haiti,MONO,366,3,Salon Retro,Tetris
181,United States,MONO,356,5,Salon 1,Mortal Kombat
182,Sweden,MONO,108,1,Salon 6,Galaga
183,Japan,MONO,284,2,Salon 4,Castelvania
184,Sweden,MONO,255,3,Salon 6,Bubble Bobble
185,Brazil,STEREO,276,3,Salon 2,Tron
186,Russia,MONO,392,3,Salon VR,Tetris
187,Comoros,STEREO,275,2,Salon 5,Arkanoid
188,Sweden,MONO,449,5,Salon Carreras,Arkanoid
189,Ukraine,MONO,133,4,Salon 2021,Space Invaders
190,Philippines,STEREO,375,3,Salon 4,Virtua Cop
191,Zimbabwe,STEREO,459,5,Salon 3,Out Run
192,Brazil,MONO,145,1,Salon 5,Arkanoid
193,Poland,STEREO,150,1,Salon 1,Pacman
194,France,MONO,127,1,Salon 4,Double Dragon
195,Indonesia,MONO,339,1,Salon 3,Arkanoid
196,Iran,MONO,194,5,Salon 3,Pacman
197,Brazil,STEREO,289,1,Salon 5,Bubble Bobble
198,Panama,STEREO,283,4,Salon Retro,Castelvania
199,Panama,STEREO,243,5,Salon 2,Metal Slug
200,China,STEREO,380,2,Salon 1,Pacman
201,China,MONO,271,1,Salon 2,Space Invaders
202,Afghanistan,STEREO,467,2,Salon Carreras,Pacman
203,France,STEREO,205,4,Salon 2021,Mortal Kombat
204,Brazil,STEREO,113,2,Salon 6,Pacman
205,Portugal,STEREO,500,1,Salon 2021,Arkanoid
206,United States,STEREO,317,5,Salon 6,Bubble Bobble
207,China,MONO,455,4,Salon 5,Out Run
208,Georgia,MONO,470,1,Salon 1,Street Fighter II
209,Luxembourg,MONO,212,2,Salon 6,Star Wars
210,Mongolia,MONO,360,5,Salon VR,Tron
211,Hungary,MONO,355,2,Salon 2,Pong
212,Portugal,MONO,487,1,Salon VR,Castelvania
213,United States,MONO,349,2,Salon 1,Tron
214,Indonesia,MONO,494,5,Salon VR,Double Dragon
215,China,MONO,311,1,Salon VR,Frogger
216,Indonesia,MONO,116,2,Salon Retro,Virtua Cop
217,Portugal,STEREO,500,2,Salon Carreras,Galaga
218,Russia,MONO,252,5,Salon 1,Mortal Kombat
219,China,MONO,367,1,Salon 2021,Galaga
220,China,MONO,276,3,Salon 5,Tetris
221,China,STEREO,439,2,Salon 3,Frogger
222,Russia,MONO,216,1,Salon 1,Castelvania
223,Ecuador,STEREO,276,3,Salon 2,Mortal Kombat
224,Colombia,MONO,113,1,Salon 1,Tron
225,China,MONO,165,4,Salon 1,Metal Slug
226,Philippines,MONO,408,4,Salon Retro,Metal Slug
227,Russia,STEREO,341,5,Salon 1,Mortal Kombat
228,Indonesia,STEREO,227,3,Salon Retro,Metal Slug
229,New Caledonia,STEREO,378,1,Salon Carreras,Street Fighter II
230,Serbia,MONO,299,3,Salon 2,Tetris
231,China,MONO,485,3,Salon 3,Metal Slug
232,Dominica,STEREO,386,2,Salon Retro,Pacman
233,Azerbaijan,STEREO,209,5,Salon 3,Pong
234,Pakistan,STEREO,378,1,Salon 3,Double Dragon
235,China,MONO,336,4,Salon Retro,Space Invaders
236,Bulgaria,MONO,471,4,Salon VR,Virtua Cop
237,China,STEREO,181,1,Salon 2,Frogger
238,United States,STEREO,151,1,Salon 4,Pacman
239,Brazil,MONO,211,2,Salon 6,Frogger
240,Russia,STEREO,286,1,Salon 2021,Asteroids
241,China,MONO,357,1,Salon 3,Tetris
242,Indonesia,STEREO,462,4,Salon 2,Bubble Bobble
243,Indonesia,STEREO,351,2,Salon Retro,Tron
244,China,STEREO,175,4,Salon 6,Pong
245,Ivory Coast,STEREO,263,3,Salon Retro,Mortal Kombat
246,France,STEREO,237,1,Salon 2,Frogger
247,Iran,MONO,477,5,Salon Carreras,Galaga
248,United States,MONO,304,4,Salon 1,Castelvania
249,Greece,STEREO,345,2,Salon VR,Double Dragon
250,China,STEREO,335,3,Salon 3,Frogger
251,Mongolia,MONO,174,3,Salon Carreras,Arkanoid
252,China,MONO,408,5,Salon 4,Space Invaders
253,China,MONO,330,5,Salon 1,Virtua Cop
254,China,STEREO,211,5,Salon 1,Bubble Bobble
255,Japan,STEREO,382,3,Salon Carreras,Pong
256,Mauritius,MONO,123,3,Salon 1,Pacman
257,Russia,MONO,287,2,Salon 2021,Frogger
258,Indonesia,MONO,232,2,Salon 2021,Double Dragon
259,China,STEREO,161,2,Salon VR,Out Run
260,Slovenia,STEREO,494,3,Salon Carreras,Street Fighter II
261,Ireland,STEREO,475,4,Salon 1,Metal Slug
262,Nigeria,MONO,282,4,Salon 2021,Arkanoid
263,Philippines,MONO,471,1,Salon Carreras,Star Wars
264,Argentina,STEREO,289,2,Salon 2021,Street Fighter II
265,China,MONO,169,3,Salon 1,Star Wars
266,China,STEREO,138,2,Salon Carreras,Bubble Bobble
267,Mozambique,MONO,414,3,Salon VR,Castelvania
268,Brazil,STEREO,101,2,Salon 2021,Space Invaders
269,Venezuela,STEREO,349,2,Salon 6,Mortal Kombat
270,Sweden,STEREO,356,3,Salon 6,Bubble Bobble
271,Mauritania,STEREO,264,1,Salon 2021,Street Fighter II
272,China,STEREO,241,4,Salon Carreras,Star Wars
273,China,MONO,171,5,Salon 1,Tron
274,Russia,STEREO,356,3,Salon 1,Bubble Bobble
275,Martinique,MONO,324,1,Salon Carreras,Bubble Bobble
276,Indonesia,STEREO,223,2,Salon 2021,Double Dragon
277,Peru,MONO,490,5,Salon 5,Star Wars
278,China,MONO,250,1,Salon 6,Street Fighter II
279,Thailand,MONO,264,3,Salon Retro,Galaga
280,Russia,MONO,454,3,Salon VR,Frogger
281,Greece,MONO,238,5,Salon 4,Bubble Bobble
282,Malaysia,MONO,421,4,Salon 1,Virtua Cop
283,Greece,MONO,129,2,Salon 1,Out Run
284,Bolivia,STEREO,388,1,Salon 5,Bubble Bobble
285,Thailand,STEREO,260,3,Salon 4,Frogger
286,Poland,STEREO,239,4,Salon 5,Asteroids
287,Philippines,STEREO,143,1,Salon Retro,Mortal Kombat
288,Palestinian Territory,STEREO,412,4,Salon Retro,Out Run
289,Sweden,MONO,227,2,Salon 3,Frogger
290,Mongolia,STEREO,249,1,Salon 5,Pacman
291,Brazil,STEREO,117,1,Salon 4,Out Run
292,China,MONO,154,4,Salon VR,Frogger
293,Qatar,MONO,394,1,Salon Carreras,Arkanoid
294,Indonesia,STEREO,463,4,Salon Carreras,Tron
295,Dominican Republic,MONO,343,5,Salon 5,Street Fighter II
296,Sweden,STEREO,120,2,Salon Carreras,Pong
297,Senegal,STEREO,367,2,Salon 6,Arkanoid
298,Russia,STEREO,413,1,Salon VR,Pacman
299,China,MONO,113,3,Salon 4,Castelvania
300,China,MONO,429,1,Salon 2,Frogger
301,Guatemala,MONO,463,2,Salon 2021,Star Wars
302,Bangladesh,STEREO,376,3,Salon 2021,Pong
303,Mexico,STEREO,197,5,Salon 3,Frogger
304,Tunisia,MONO,234,1,Salon 5,Street Fighter II
305,France,STEREO,267,5,Salon 6,Bubble Bobble
306,Nicaragua,STEREO,122,5,Salon 2,Galaga
307,Sweden,MONO,379,2,Salon 3,Virtua Cop
308,Canada,STEREO,185,2,Salon 2,Tetris
309,China,STEREO,155,1,Salon Retro,Galaga
310,China,STEREO,145,3,Salon Retro,Frogger
311,Finland,STEREO,135,5,Salon 5,Out Run
312,Indonesia,STEREO,218,2,Salon 6,Castelvania
313,Nigeria,MONO,448,1,Salon 3,Tetris
314,Indonesia,STEREO,145,2,Salon 4,Virtua Cop
315,Czech Republic,MONO,110,3,Salon Carreras,Double Dragon
316,Czech Republic,STEREO,135,1,Salon 2021,Bubble Bobble
317,Indonesia,STEREO,236,3,Salon 2021,Street Fighter II
318,Argentina,STEREO,223,1,Salon 2,Galaga
319,France,STEREO,295,3,Salon 2,Pacman
320,Portugal,STEREO,332,3,Salon VR,Bubble Bobble
321,Indonesia,STEREO,404,4,Salon 3,Tetris
322,Greece,MONO,143,5,Salon VR,Castelvania
323,China,STEREO,475,5,Salon 2021,Mortal Kombat
324,Namibia,STEREO,208,4,Salon 2,Tron
325,China,STEREO,177,1,Salon 2,Mortal Kombat
326,China,MONO,423,1,Salon Retro,Arkanoid
327,Greece,STEREO,172,2,Salon 3,Double Dragon
328,Brazil,STEREO,135,3,Salon 1,Double Dragon
329,Albania,MONO,386,3,Salon 3,Double Dragon
330,Philippines,MONO,312,4,Salon 2021,Star Wars
331,China,STEREO,330,5,Salon Carreras,Asteroids
332,Russia,MONO,255,2,Salon 3,Street Fighter II
333,China,MONO,311,4,Salon 2021,Out Run
334,China,STEREO,354,1,Salon 3,Pacman
335,Ukraine,MONO,216,3,Salon 4,Arkanoid
336,Belarus,STEREO,329,1,Salon 6,Mortal Kombat
337,Portugal,STEREO,408,1,Salon 5,Metal Slug
338,Brazil,MONO,262,3,Salon VR,Street Fighter II
339,France,STEREO,262,2,Salon 2021,Pacman
340,Japan,MONO,227,2,Salon 4,Pong
341,Russia,STEREO,229,4,Salon VR,Arkanoid
342,Indonesia,STEREO,349,1,Salon 3,Castelvania
343,Albania,MONO,375,2,Salon 6,Castelvania
344,Dominican Republic,MONO,436,3,Salon 2,Tron
345,United States,STEREO,419,1,Salon Carreras,Virtua Cop
346,Malaysia,STEREO,401,4,Salon VR,Galaga
347,Brazil,STEREO,378,3,Salon Carreras,Pong
348,South Africa,STEREO,478,3,Salon VR,Space Invaders
349,Russia,STEREO,371,3,Salon VR,Castelvania
350,China,STEREO,247,2,Salon 5,Castelvania
351,Poland,MONO,430,1,Salon 1,Tetris
352,Ukraine,MONO,259,2,Salon Retro,Street Fighter II
353,Japan,MONO,184,5,Salon 4,Arkanoid
354,China,STEREO,362,3,Salon 2,Metal Slug
355,Portugal,MONO,174,4,Salon 2,Frogger
356,Germany,MONO,499,5,Salon VR,Pong
357,Comoros,MONO,348,2,Salon Carreras,Virtua Cop
358,Costa Rica,STEREO,483,4,Salon Carreras,Virtua Cop
359,Ireland,MONO,334,4,Salon VR,Tron
360,China,STEREO,238,4,Salon VR,Pong
361,China,STEREO,351,5,Salon 4,Pacman
362,Democratic Republic of the ConMONO,MONO,381,2,Salon 6,Asteroids
363,Philippines,MONO,331,2,Salon 2,Galaga
364,Brazil,STEREO,406,1,Salon Carreras,Street Fighter II
365,Ethiopia,STEREO,488,4,Salon 2021,Bubble Bobble
366,United States,STEREO,489,1,Salon 1,Castelvania
367,China,MONO,381,2,Salon 3,Double Dragon
368,China,MONO,154,5,Salon 4,Metal Slug
369,United Kingdom,STEREO,202,4,Salon Carreras,Arkanoid
370,Kosovo,MONO,331,4,Salon 4,Tetris
371,China,MONO,394,1,Salon Carreras,Arkanoid
372,Russia,STEREO,221,4,Salon Retro,Bubble Bobble
373,Russia,STEREO,297,2,Salon 2,Virtua Cop
374,Saudi Arabia,STEREO,226,5,Salon 4,Star Wars
375,Brazil,MONO,102,2,Salon 3,Street Fighter II
376,Martinique,STEREO,387,5,Salon 4,Double Dragon
377,China,STEREO,211,2,Salon Retro,Out Run
378,China,STEREO,490,1,Salon 5,Street Fighter II
379,Canada,MONO,100,4,Salon 2,Galaga
380,Indonesia,MONO,138,2,Salon 5,Bubble Bobble
381,Indonesia,STEREO,451,2,Salon 3,Mortal Kombat
382,Peru,MONO,491,2,Salon 2,Double Dragon
383,Indonesia,MONO,456,5,Salon VR,Double Dragon
384,Japan,STEREO,134,2,Salon VR,Double Dragon
385,Bosnia and Herzegovina,MONO,316,1,Salon 2021,Bubble Bobble
386,Iran,STEREO,120,4,Salon 6,Street Fighter II
387,China,STEREO,401,2,Salon 3,Street Fighter II
388,Philippines,STEREO,112,2,Salon 2,Star Wars
389,Indonesia,STEREO,147,4,Salon 2021,Frogger
390,Liberia,MONO,223,3,Salon 6,Frogger
391,China,STEREO,423,4,Salon 4,Arkanoid
392,Peru,STEREO,120,5,Salon 3,Space Invaders
393,Philippines,STEREO,336,3,Salon Retro,Arkanoid
394,Brazil,MONO,195,5,Salon 6,Virtua Cop
395,Indonesia,MONO,198,3,Salon 6,Out Run
396,China,MONO,439,4,Salon Carreras,Double Dragon
397,Philippines,MONO,144,2,Salon 4,Double Dragon
398,China,MONO,330,1,Salon 2,Tetris
399,Indonesia,MONO,113,1,Salon 2,Double Dragon
400,China,MONO,276,2,Salon 2,Space Invaders
401,Germany,STEREO,487,2,Salon 3,Out Run
402,Philippines,STEREO,122,4,Salon 6,Galaga
403,Czech Republic,MONO,168,5,Salon Carreras,Castelvania
404,Indonesia,STEREO,351,4,Salon 3,Double Dragon
405,Indonesia,MONO,394,5,Salon Retro,Double Dragon
406,Philippines,MONO,406,2,Salon 3,Mortal Kombat
407,Poland,MONO,215,2,Salon VR,Virtua Cop
408,Russia,STEREO,201,4,Salon Retro,Tetris
409,Peru,STEREO,209,1,Salon VR,Bubble Bobble
410,Russia,STEREO,161,5,Salon 3,Double Dragon
411,China,STEREO,429,2,Salon 3,Tron
412,Ecuador,STEREO,238,3,Salon 4,Pong
413,China,MONO,386,1,Salon 6,Tetris
414,Chile,MONO,169,2,Salon Carreras,Pacman
415,China,STEREO,412,3,Salon VR,Bubble Bobble
416,South Africa,STEREO,288,2,Salon 1,Galaga
417,China,MONO,117,3,Salon 5,Tetris
418,Russia,MONO,150,3,Salon Retro,Castelvania
419,Portugal,STEREO,131,5,Salon 4,Galaga
420,Sweden,STEREO,183,2,Salon 3,Asteroids
421,Philippines,MONO,330,1,Salon 4,Tetris
422,Cameroon,MONO,301,1,Salon 3,Asteroids
423,Indonesia,STEREO,218,2,Salon 6,Galaga
424,Russia,MONO,422,5,Salon 1,Space Invaders
425,Poland,STEREO,288,4,Salon 4,Double Dragon
426,Nigeria,STEREO,301,1,Salon 1,Bubble Bobble
427,China,STEREO,166,5,Salon 2021,Double Dragon
428,Indonesia,MONO,198,5,Salon 2,Street Fighter II
429,China,STEREO,190,4,Salon 3,Pacman
430,Brazil,MONO,442,4,Salon 2,Tetris
431,China,MONO,257,5,Salon Retro,Street Fighter II
432,Ukraine,STEREO,473,5,Salon 3,Frogger
433,China,MONO,116,5,Salon Retro,Space Invaders
434,Mauritania,MONO,401,5,Salon Carreras,Tron
435,China,MONO,340,3,Salon 4,Castelvania
436,Bangladesh,MONO,395,3,Salon VR,Pong
437,China,STEREO,313,3,Salon 1,Star Wars
438,Pakistan,STEREO,194,2,Salon 4,Tron
439,China,STEREO,201,3,Salon VR,Arkanoid
440,Burundi,STEREO,265,1,Salon 2,Star Wars
441,Nauru,STEREO,449,2,Salon 3,Out Run
442,Dominican Republic,MONO,274,4,Salon 4,Asteroids
443,Sweden,STEREO,354,2,Salon Retro,Metal Slug
444,Indonesia,MONO,134,2,Salon 5,Pacman
445,Canada,STEREO,403,4,Salon 4,Galaga
446,Germany,STEREO,136,4,Salon VR,Bubble Bobble
447,China,MONO,331,5,Salon 6,Pacman
448,Russia,STEREO,221,3,Salon 5,Pacman
449,China,MONO,476,5,Salon 4,Galaga
450,Libya,STEREO,441,2,Salon 3,Space Invaders
451,Finland,STEREO,335,4,Salon 2021,Galaga
452,China,MONO,447,1,Salon Retro,Castelvania
453,Brazil,MONO,141,1,Salon 3,Out Run
454,Russia,MONO,390,5,Salon 4,Mortal Kombat
455,China,MONO,384,2,Salon 4,Tetris
456,Brazil,MONO,119,4,Salon Carreras,Pacman
457,Lithuania,MONO,211,3,Salon 4,Pacman
458,China,MONO,348,4,Salon VR,Bubble Bobble
459,Switzerland,STEREO,310,1,Salon 5,Space Invaders
460,Poland,MONO,288,5,Salon 2,Galaga
461,Indonesia,MONO,148,2,Salon 6,Tetris
462,Yemen,STEREO,372,5,Salon 4,Tetris
463,China,MONO,479,2,Salon 2021,Mortal Kombat
464,China,STEREO,232,4,Salon 2021,Tetris
465,Uganda,MONO,329,3,Salon 1,Tetris
466,Czech Republic,MONO,132,5,Salon 1,Space Invaders
467,Czech Republic,MONO,497,1,Salon 2,Frogger
468,China,STEREO,370,5,Salon 6,Space Invaders
469,Iran,STEREO,466,5,Salon Retro,Tetris
470,Nigeria,MONO,400,2,Salon 2,Pacman
471,Philippines,STEREO,478,4,Salon VR,Star Wars
472,Iran,MONO,193,5,Salon 2,Bubble Bobble
473,Indonesia,STEREO,486,1,Salon VR,Space Invaders
474,Indonesia,MONO,142,4,Salon 5,Arkanoid
475,Philippines,MONO,269,2,Salon 4,Space Invaders
476,China,MONO,130,2,Salon 3,Street Fighter II
477,Albania,MONO,100,4,Salon 3,Pacman
478,China,MONO,279,1,Salon 3,Out Run
479,Indonesia,STEREO,148,3,Salon 4,Mortal Kombat
480,Indonesia,MONO,226,3,Salon 6,Star Wars
481,Indonesia,MONO,488,5,Salon Retro,Tron
482,Russia,STEREO,354,5,Salon 4,Asteroids
483,Afghanistan,MONO,331,4,Salon 6,Tetris
484,China,MONO,444,1,Salon VR,Galaga
485,France,MONO,142,4,Salon Carreras,Castelvania
486,Netherlands,STEREO,163,2,Salon 2021,Virtua Cop
487,China,MONO,236,4,Salon 2021,Double Dragon
488,Argentina,MONO,396,4,Salon VR,Arkanoid
489,Azerbaijan,STEREO,473,2,Salon 2021,Star Wars
490,Philippines,STEREO,192,5,Salon Retro,Mortal Kombat
491,Russia,STEREO,181,1,Salon VR,Double Dragon
492,Portugal,STEREO,199,5,Salon Carreras,Arkanoid
493,Chad,MONO,186,5,Salon VR,Castelvania
494,Poland,STEREO,317,1,Salon Retro,Pong
495,Brazil,STEREO,150,5,Salon 3,Tetris
496,Mexico,MONO,134,4,Salon 4,Pong
497,China,MONO,224,1,Salon Carreras,Out Run
498,Mozambique,MONO,359,4,Salon 2021,Galaga
499,South Africa,STEREO,483,1,Salon 5,Bubble Bobble
500,Argentina,MONO,327,4,Salon VR,Double Dragon
